,uniqueID,appTitle,userName,date,date_extracted,rating,text,category,contentRating,comment,sentiScore_pos,sentiScore_neg,label_Bug,label_Feature,label_UserExperience,label_Rating,lemmatized_comment,stopwords_removal,stopwords_removal_lemmatization,stemmed,stopwords_removal_nltk,sentiScore,length_words,Predicted_labels
1045953,1612938,Unicorn Slime Maker and Simulator,Tom Klundby,2019-02-05,2019-04-14,1,MOST HORRIBLE APP EVER,LIFESTYLE,Everyone,MOST HORRIBLE EVER,1,-4,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  MOST HORRIBLE EVER,  most horrible ever,  most horrible ever,  most horribl ever,  horrible ever,-4,3,Rating
358409,547635,Headspace: Meditation & Sleep,,2018-12-13,2019-03-24,5,I love it its vary helpfull,HEALTH AND FITNESS,Everyone,I love it its vary,3,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  I love it it vary,  love vary,  love vary,  i love it it vari,  love vary,3,5,Rating
875012,1344878,Kahoot!,A Google User,2018-04-08,2019-04-14,5,I love this app! It's so fun and easy to use in class.,EDUCATION,Everyone,I love this  It  s so fun and easy to use in class,3,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  I love this It s so fun and easy to use in class,  love this so fun easy to use class,  love this so fun easy to use class,  i love this it s so fun and easi to use in class,  love fun easy use class,3,13,Rating
555046,850287,Snowball.io,Spencer Davis,2019-03-18,2019-04-01,4,Fun little time killer with unique concept and intuitive gameplay. Star off for lack of difficulty increase or variant game modes.,GAME ACTION,Everyone,Fun little time killer with unique concept and intuitive  Star off for lack of difficulty increase or variant game,2,-2,Not_Bug,Feature,Not_UserExperience,Not_Rating,  Fun little time killer with unique concept and intuitive Star off for lack of difficulty increase or variant game,  fun little time killer with unique concept intuitive star off for lack of difficulty increase or variant game,  fun little time killer with unique concept intuitive star off for lack of difficulty increase or variant game,  fun littl time killer with uniqu concept and intuit star off for lack of difficulti increas or variant game,  fun little time killer unique concept intuitive star lack difficulty increase variant game,2,19,Rating
272972,416335,DisneyNOW â€“ Episodes & Live TV,,2019-02-02,2019-03-24,5,amazing app with fun shows and games,FAMILY,Everyone,amazing with fun and,3,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  amazing with fun and,  amazing with fun,  amazing with fun,  amaz with fun and,  amazing fun,3,4,Rating
877819,1349025,Duolingo: Learn Languages Free,TF Dallas,2019-04-08,2019-04-14,4,it is good for the languages it has but I'd really appreciate if you would add Estonian because as someone trying to immigrate to Estonia passing a test in the language is required so I need to study it and all the other apps are very sketchy so PLEASE for the love of God ADD ESTONIAN,EDUCATION,Everyone,it is good for the it but I  d really appreciate if you would add because as someone trying to immigrate to passing a test in the language is so I need to study it and all the other are very sketchy so PLEASE for the love of God ADD,3,-3,Not_Bug,Feature,Not_UserExperience,Not_Rating,  it is good for the it but I d really appreciate if you would add because a someone trying to immigrate to passing a test in the language is so I need to study it and all the other are very sketchy so PLEASE for the love of God ADD,  good for but d really appreciate if would add because as someone trying to immigrate to passing test language so need to study all other very sketchy so please for love of god add,  good for but d really appreciate if would add because a someone trying to immigrate to passing test language so need to study all other very sketchy so please for love of god add,  it is good for the it but i d realli appreci if you would add becaus as someon tri to immigr to pass a test in the languag is so i need to studi it and all the other are veri sketchi so pleas for the love of god add,  good really appreciate would add someone trying immigrate passing test language need study sketchy please love god add,3,50,Not_Rating
696466,1069582,WildCraft: Animal Sim Online 3D,Hebe Ng,2019-04-06,2019-04-07,4,its great but mammals in the 1st terimester why its slowðŸ˜• but keep a good jobðŸ˜Š,FAMILY,Everyone 10+,its great but in the 1st why its slow  but keep a good job,3,-1,Bug,Not_Feature,Not_UserExperience,Not_Rating,  it great but in the 1st why it slow but keep a good job,  great but 1st why slow but keep good job,  great but 1st why slow but keep good job,  it great but in the 1st whi it slow but keep a good job,  great 1st slow keep good job,3,14,Rating
739255,1133713,Fresh EBT - Food Stamp Balance,Efidel Jaramillo,2019-04-02,2019-04-07,2,much better than dialing the phone and entering numbers. But now the app has dissapeared and wont download. Just my luck!!,FINANCE,Everyone,much better than dialing the phone and entering  But now the and wont  Just my luck,1,-3,Bug,Not_Feature,Not_UserExperience,Not_Rating,  much better than dialing the phone and entering But now the and wont Just my luck,  much better than dialing phone entering but now wont just luck,  much better than dialing phone entering but now wont just luck,  much better than dial the phone and enter but now the and wont just my luck,  much better dialing phone entering wont luck,-3,16,Not_Rating
631093,967502,Free Music Player â€“ Online & Offline MP3 Player,A Google User,2019-01-26,2019-04-01,5,"this app is amazing eveyone should get this!!! you can listen to music offline, nit many apps do that. Its so easy to use.",MUSIC AND AUDIO,Teen,this is amazing should get this  you can listen to music  nit many do that  Its so easy to use,3,-1,Not_Bug,Not_Feature,Not_UserExperience,Ratings,  this is amazing should get this you can listen to music nit many do that Its so easy to use,  this amazing should get this can listen to music nit many do that so easy to use,  this amazing should get this can listen to music nit many do that so easy to use,  this is amaz should get this you can listen to music nit mani do that it so easi to use,  amazing get listen music nit many easy use,3,20,Rating
914158,1408859,Duolingo: Learn Languages Free,GamerKitten Produtions,2019-04-13,2019-04-14,5,I had too give 5 stars so the duolingo owl will at least give my locked up family some food.,FAMILY,Everyone,I had too give so the owl will at least give my locked up family some food,1,-1,Not_Bug,Not_Feature,UserExperience,Not_Rating,  I had too give so the owl will at least give my locked up family some food,  had too give so owl will at least give locked family some food,  had too give so owl will at least give locked family some food,  i had too give so the owl will at least give my lock up famili some food,  give owl least give locked family food,1,17,Not_Rating
